Apellido,Total
MORATA,3888
RAMIS,3886
BEJAR,3878
ABASCAL,3875
QUILEZ,3874
FERRO,3869
ALSINA,3866
PABLOS,3864
FUNES,3863
CARNERO,3860
ANTELO,3859
CASILLAS,3858
PARRADO,3854
DE OLIVEIRA,3852
UCEDA,3852
ORTA,3849
NIÑO,3848
YANES,3847
BREA,3847
MIRON,3841
GALIANA,3839
POSADA,3836
FONTAN,3836
ORTS,3833
NEBOT,3831
CAMARERO,3829
AGUILA,3828
DIZ,3827
HU,3821
LANDA,3816
TORRENTE,3814
PABLO,3811
MOTOS,3808
BUSQUETS,3799
BARCIA,3788
CASES,3787
RANGEL,3787
LAVADO,3785
HUGUET,3783
VALBUENA,3774
REINOSO,3771
LLANO,3760
LAHOZ,3760
TORRECILLA,3760
DEVESA,3760
RADU,3756
MATAMOROS,3752
GONZALVEZ,3751
ANDRADES,3742
ARNAL,3733
GRAÑA,3730
CAYUELA,3730
COUTO,3726
SAN ROMAN,3726
ARAMBURU,3716
VIEJO,3710
BORRERO,3704
VICENT,3702
RUA,3699
HIGUERA,3694
VIANA,3694
ALCOLEA,3691
BORGES,3689
LASO,3688
IBORRA,3684
MARINA,3684
LIEBANA,3681
DURO,3679
ALGUACIL,3665
ROSSELLO,3659
BAQUERO,3659
DE JUAN,3659
BAS,3656
TOSCANO,3655
LASTRA,3653
BARRIONUEVO,3645
ROMEO,3645
MUGICA,3643
SIMARRO,3642
DEL REY,3642
BEDOYA,3640
FERRANDIZ,3634
AMO,3634
MENDIZABAL,3626
FELIZ,3624
GADEA,3623
MASIP,3622
IZAGUIRRE,3619
NUÑO,3618
IRANZO,3618
AGUERO,3616
MOLL,3606
VENDRELL,3605
ARRABAL,3595
LAGE,3594
BLANES,3586
PEREIRO,3580
ACERO,3578
SAMANIEGO,3570
NAVALON,3566
RIBEIRO,3566
CARREIRA,3565
CAO,3563
TORRICO,3558
ARAQUE,3557
BLANCA,3556
ARTIGAS,3554
MATILLA,3550
CANET,3550
ORTIGOSA,3550
BARRAL,3549
VIVANCOS,3548
PASTRANA,3547
PARREÑO,3546
ROZAS,3534
REGALADO,3530
HUETE,3530
YEPES,3525
BARQUERO,3523
MORENTE,3513
LIÑAN,3509
CURBELO,3506
DUMITRU,3506
SELLES,3494
EGIDO,3493
KHAN,3493
ARTERO,3491
SABORIDO,3485
ROMEU,3483
LLINARES,3478
POMBO,3474
BELLON,3474
MONDEJAR,3473
NEGRIN,3470
ARANGO,3469
PINTOR,3464
ESTEBANEZ,3462
GALEANO,3461
FELIU,3461
PINEDO,3458
ZARATE,3457
DEL VAL,3456
CURTO,3456
VELARDE,3453
CORREAS,3451
ALMENDROS,3450
COTO,3450
QUISPE,3449
PALENCIA,3448
GAITAN,3447
ALBERO,3446
BARREDA,3439
PAGAN,3438
FRANCH,3437
LASA,3434
DE LUCAS,3434
OLEA,3434
CRUCES,3433
TOLOSA,3431
CORTINA,3422
MELO,3420
TERCERO,3420
BALLESTA,3420
BERNARDEZ,3419
MATE,3418
MERCADER,3415
CHINCHILLA,3412
MULET,3410
SOLERA,3409
NOTARIO,3408
CURIEL,3406
EDO,3406
DE BLAS,3405
DE LOS REYES,3398
URBINA,3397
CORCOLES,3396
RENDON,3395
AVALOS,3395
CALVENTE,3394
TABARES,3387
BERNAD,3387
CEDEÑO,3386
SALADO,3386
ACEITUNO,3384
VIEIRA,3380
MONZO,3377
FRESNEDA,3372
GUASCH,3371
CORBALAN,3363
COLMENERO,3362
CLAVERO,3361
MENDES,3360
ALLER,3359
PAJUELO,3354
GALISTEO,3354
LOSA,3352
HITA,3352
OLTRA,3346
MOLDOVAN,3345
VICARIO,3339
CUEVA,3336
